Model,CV Accuracy Mean,CV Accuracy Std,CV Precision,CV Recall,CV F1,CV F1 Std,CV ROC-AUC,Train Accuracy,Train F1,Train-CV Accuracy Gap,Train-CV F1 Gap,Best Parameters
Decision Tree,0.797704081632653,0.041100027366483084,0.7877933067964027,0.7735177865612648,0.775223898468283,0.05893080112439033,0.8593772169859125,0.8574435126328721,0.8406541750159349,0.059739431000219057,0.06543027654765188,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 2}"
Random Forest,0.8263605442176871,0.01721093476909073,0.831796402771635,0.7830039525691699,0.8035134069672791,0.030464170602029012,0.8946023782980304,1.0,1.0,0.17363945578231288,0.19648659303272087,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}"
SVM,0.8511054421768707,0.024669245224702332,0.8848262032085563,0.78300395256917,0.8270478059951744,0.03297287271810742,0.8968356924878664,0.8729501629186476,0.8550674521879962,0.021844720741776902,0.028019646192821823,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}"
