mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.07332696914672851,0.024812294510797903,0.10067281723022461,0.030469499934169673,gini,2,1,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.11786155700683594,0.01981169087925506,0.13859591484069825,0.04331483463468636,gini,2,1,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.09312009811401367,0.03468421254001501,0.14732804298400878,0.037133019288002306,gini,2,1,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.06673550605773926,0.0211791270317337,0.10069527626037597,0.0430289875559089,gini,2,2,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.07180566787719726,0.027468360532326215,0.09749207496643067,0.031802265040095395,gini,2,2,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.05609216690063477,0.021358399890901072,0.081768798828125,0.030781305863711816,gini,2,2,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.0693537712097168,0.01665332322497902,0.10131311416625977,0.01094829490732117,gini,2,4,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.07847390174865723,0.026314571470087193,0.12834582328796387,0.05923041805194707,gini,2,4,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.14411792755126954,0.022754241444215725,0.17963895797729493,0.04498508794453362,gini,2,4,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
0.11807737350463868,0.03676114828659856,0.16530060768127441,0.025492654629038342,gini,2,8,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 2, 'classifier__min_samples_leaf': 8, 'classifier__min_samples_split': 2}",0.7551020408163265,0.7346938775510204,0.6458333333333334,0.7291666666666666,0.75,0.7229591836734695,0.03972153493789234,115,0.7875647668393783,0.7875647668393783,0.7989690721649485,0.7835051546391752,0.7835051546391752,0.788221783024411,0.005672049559972629,0.6774193548387096,0.8,0.631578947368421,0.6956521739130435,0.8125,0.7234300952240349,0.07088248409834286,89,0.7155963302752294,0.8870967741935484,0.8205128205128205,0.7831325301204819,0.8852459016393442,0.8183168713482848,0.06481425730472333,0.9130434782608695,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5909090909090909,0.6644268774703557,0.14104858137353954,137,0.8863636363636364,0.6179775280898876,0.7191011235955056,0.7303370786516854,0.6067415730337079,0.7121041879468846,0.1007063647359112,0.7777777777777778,0.6486486486486487,0.5853658536585366,0.7111111111111111,0.6842105263157895,0.6814227835023727,0.06399145398323847,135,0.7918781725888325,0.7284768211920529,0.7664670658682635,0.7558139534883721,0.72,0.7525272026275042,0.02603866783555284,0.8545150501672241,0.8265993265993266,0.7360139860139859,0.7980769230769231,0.8277972027972028,0.8086004977309325,0.04044790416867851,68,0.8548701298701298,0.853932584269663,0.8553772070626002,0.8650615302300696,0.8522739432851792,0.8563030789435283,0.004504980130428267
