mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.05059537887573242,0.0016840655153704432,0.04645328521728516,0.00044581865561792855,0.1,scale,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.7959183673469388,0.8163265306122449,0.8333333333333334,0.7916666666666666,0.7708333333333334,0.8016156462585033,0.021454201279861373,24,0.8497409326424871,0.8341968911917098,0.8402061855670103,0.845360824742268,0.8402061855670103,0.8419422039420971,0.005263544940745493,0.8421052631578947,0.8823529411764706,0.9375,0.8333333333333334,0.7619047619047619,0.8514392599144921,0.0579542596879667,10,0.927536231884058,0.8701298701298701,0.8625,0.9154929577464789,0.881578947368421,0.8914476014257657,0.025574862806114075,0.6956521739130435,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.6936758893280631,0.01763218025549051,29,0.7272727272727273,0.7528089887640449,0.7752808988764045,0.7303370786516854,0.7528089887640449,0.7477017364657813,0.017502308470360682,0.7619047619047619,0.7692307692307693,0.7894736842105263,0.75,0.7441860465116279,0.762959052371537,0.015898644279889265,25,0.8152866242038217,0.8072289156626506,0.8165680473372781,0.8125,0.8121212121212121,0.8127409598649926,0.0032234076893108087,0.9214046822742474,0.8838383838383839,0.8426573426573427,0.9213286713286712,0.8583916083916084,0.8855241376980508,0.03208101038712178,23,0.9074675324675325,0.9137856525496975,0.9155698234349919,0.9081861958266453,0.9183520599250935,0.9126722528407921,0.004221601697769262
0.039994239807128906,0.002377846969776716,0.04541034698486328,0.0007824621916330696,0.1,scale,linear,"{'classifier__C': 0.1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8979591836734694,0.7959183673469388,0.8333333333333334,0.8125,0.8125,0.8304421768707483,0.03578447104275413,3,0.8341968911917098,0.8601036269430051,0.845360824742268,0.8608247422680413,0.8298969072164949,0.8460765984723038,0.012788177816844134,0.9090909090909091,0.9285714285714286,0.9375,0.782608695652174,0.8421052631578947,0.8799752592944813,0.05904708095680204,4,0.8888888888888888,0.8875,0.8641975308641975,0.8780487804878049,0.8333333333333334,0.8703937067148448,0.020519069464415136,0.8695652173913043,0.5909090909090909,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7375494071146246,0.09863541132472842,24,0.7272727272727273,0.797752808988764,0.7865168539325843,0.8089887640449438,0.7865168539325843,0.7814096016343208,0.028322005026555033,0.8888888888888888,0.7222222222222222,0.7894736842105263,0.8,0.7804878048780488,0.7962145200399371,0.05361062781555024,16,0.8,0.8402366863905325,0.8235294117647058,0.8421052631578947,0.8092485549132948,0.8230239832452856,0.016616221477020455,0.939799331103679,0.9090909090909092,0.8828671328671329,0.8986013986013986,0.8933566433566434,0.9047430830039527,0.019461616644271863,1,0.9203463203463204,0.9245894554883318,0.9261637239165329,0.9255216693418941,0.9283039058319957,0.9249850149850151,0.0026216919866620687
0.05140695571899414,0.0030451622321302526,0.05138545036315918,0.0035506400082936577,0.1,0.001,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.5306122448979592,0.5510204081632653,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5413265306122448,0.00646705895980662,32,0.5440414507772021,0.538860103626943,0.5412371134020618,0.5412371134020618,0.5412371134020618,0.5413225789220661,0.0016418259231155427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163879598662208,0.8686868686868687,0.8601398601398602,0.9195804195804196,0.8251748251748252,0.877993986689639,0.03577369055706853,26,0.8820346320346321,0.8895851339671565,0.8923488496522204,0.8825040128410915,0.897378277153558,0.8887701811297315,0.005868608358214923
0.04125885963439942,0.003179109582312416,0.04634284973144531,0.0017211251912438467,0.1,0.001,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'linear'}",0.8979591836734694,0.7959183673469388,0.8333333333333334,0.8125,0.8125,0.8304421768707483,0.03578447104275413,3,0.8341968911917098,0.8601036269430051,0.845360824742268,0.8608247422680413,0.8298969072164949,0.8460765984723038,0.012788177816844134,0.9090909090909091,0.9285714285714286,0.9375,0.782608695652174,0.8421052631578947,0.8799752592944813,0.05904708095680204,4,0.8888888888888888,0.8875,0.8641975308641975,0.8780487804878049,0.8333333333333334,0.8703937067148448,0.020519069464415136,0.8695652173913043,0.5909090909090909,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7375494071146246,0.09863541132472842,24,0.7272727272727273,0.797752808988764,0.7865168539325843,0.8089887640449438,0.7865168539325843,0.7814096016343208,0.028322005026555033,0.8888888888888888,0.7222222222222222,0.7894736842105263,0.8,0.7804878048780488,0.7962145200399371,0.05361062781555024,16,0.8,0.8402366863905325,0.8235294117647058,0.8421052631578947,0.8092485549132948,0.8230239832452856,0.016616221477020455,0.939799331103679,0.9090909090909092,0.8828671328671329,0.8986013986013986,0.8933566433566434,0.9047430830039527,0.019461616644271863,1,0.9203463203463204,0.9245894554883318,0.9261637239165329,0.9255216693418941,0.9283039058319957,0.9249850149850151,0.0026216919866620687
0.05108499526977539,0.004386382497230348,0.0461634635925293,0.0005765227973453256,0.1,0.01,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.5510204081632653,0.5918367346938775,0.6458333333333334,0.6041666666666666,0.6458333333333334,0.6077380952380953,0.0357351332091602,31,0.5751295336787565,0.6269430051813472,0.5876288659793815,0.5824742268041238,0.6494845360824743,0.6043320335452166,0.02884285022122776,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9565217391304348,0.9913043478260869,0.017391304347826077,0.043478260869565216,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.1450592885375494,0.07327299976026674,31,0.06818181818181818,0.19101123595505617,0.10112359550561797,0.0898876404494382,0.24719101123595505,0.1394790602655771,0.06822195663892903,0.08333333333333333,0.16666666666666666,0.37037037037037035,0.24,0.37037037037037035,0.24614814814814814,0.11289472134247856,31,0.1276595744680851,0.32075471698113206,0.1836734693877551,0.16494845360824742,0.39285714285714285,0.2379786714604725,0.10128374545515727,0.9214046822742474,0.8737373737373738,0.8583916083916083,0.923076923076923,0.833916083916084,0.8821053342792473,0.03515018421319016,25,0.8838744588744588,0.8912057044079517,0.8944890315676832,0.8840021401819156,0.8984483681112895,0.8904039406286597,0.005756053988620004
0.038577938079833986,0.0010250486839034983,0.04610996246337891,0.0024889628489324998,0.1,0.01,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.8979591836734694,0.7959183673469388,0.8333333333333334,0.8125,0.8125,0.8304421768707483,0.03578447104275413,3,0.8341968911917098,0.8601036269430051,0.845360824742268,0.8608247422680413,0.8298969072164949,0.8460765984723038,0.012788177816844134,0.9090909090909091,0.9285714285714286,0.9375,0.782608695652174,0.8421052631578947,0.8799752592944813,0.05904708095680204,4,0.8888888888888888,0.8875,0.8641975308641975,0.8780487804878049,0.8333333333333334,0.8703937067148448,0.020519069464415136,0.8695652173913043,0.5909090909090909,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7375494071146246,0.09863541132472842,24,0.7272727272727273,0.797752808988764,0.7865168539325843,0.8089887640449438,0.7865168539325843,0.7814096016343208,0.028322005026555033,0.8888888888888888,0.7222222222222222,0.7894736842105263,0.8,0.7804878048780488,0.7962145200399371,0.05361062781555024,16,0.8,0.8402366863905325,0.8235294117647058,0.8421052631578947,0.8092485549132948,0.8230239832452856,0.016616221477020455,0.939799331103679,0.9090909090909092,0.8828671328671329,0.8986013986013986,0.8933566433566434,0.9047430830039527,0.019461616644271863,1,0.9203463203463204,0.9245894554883318,0.9261637239165329,0.9255216693418941,0.9283039058319957,0.9249850149850151,0.0026216919866620687
0.05146021842956543,0.0025210025174078644,0.05179786682128906,0.004893901891818772,0.1,0.1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.7959183673469388,0.7959183673469388,0.8333333333333334,0.8125,0.7708333333333334,0.8017006802721088,0.02067323602557145,23,0.8497409326424871,0.8393782383419689,0.8402061855670103,0.845360824742268,0.8402061855670103,0.8429784733721488,0.003993477308193112,0.8421052631578947,0.8333333333333334,0.9375,0.8421052631578947,0.7619047619047619,0.8433897243107769,0.05585870347404958,12,0.927536231884058,0.8717948717948718,0.8625,0.9154929577464789,0.881578947368421,0.891780601758766,0.025304535980688922,0.6956521739130435,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.7272727272727273,0.7027667984189723,0.020636802343409696,28,0.7272727272727273,0.7640449438202247,0.7752808988764045,0.7303370786516854,0.7528089887640449,0.7499489274770174,0.018694496903343558,0.7619047619047619,0.75,0.7894736842105263,0.7804878048780488,0.7441860465116279,0.765210459500993,0.01735749412473827,24,0.8152866242038217,0.8143712574850299,0.8165680473372781,0.8125,0.8121212121212121,0.8141694282294685,0.0016747785141521118,0.9197324414715718,0.8838383838383839,0.8426573426573427,0.9195804195804196,0.8583916083916083,0.8848400391878652,0.03131860935149286,24,0.9094155844155843,0.9147579948141746,0.915676832530765,0.909470304975923,0.9191011235955056,0.9136843680663904,0.0037535229074932295
0.03911542892456055,0.0015812912275413597,0.05352740287780762,0.013197589489282034,0.1,0.1,linear,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.8979591836734694,0.7959183673469388,0.8333333333333334,0.8125,0.8125,0.8304421768707483,0.03578447104275413,3,0.8341968911917098,0.8601036269430051,0.845360824742268,0.8608247422680413,0.8298969072164949,0.8460765984723038,0.012788177816844134,0.9090909090909091,0.9285714285714286,0.9375,0.782608695652174,0.8421052631578947,0.8799752592944813,0.05904708095680204,4,0.8888888888888888,0.8875,0.8641975308641975,0.8780487804878049,0.8333333333333334,0.8703937067148448,0.020519069464415136,0.8695652173913043,0.5909090909090909,0.6818181818181818,0.8181818181818182,0.7272727272727273,0.7375494071146246,0.09863541132472842,24,0.7272727272727273,0.797752808988764,0.7865168539325843,0.8089887640449438,0.7865168539325843,0.7814096016343208,0.028322005026555033,0.8888888888888888,0.7222222222222222,0.7894736842105263,0.8,0.7804878048780488,0.7962145200399371,0.05361062781555024,16,0.8,0.8402366863905325,0.8235294117647058,0.8421052631578947,0.8092485549132948,0.8230239832452856,0.016616221477020455,0.939799331103679,0.9090909090909092,0.8828671328671329,0.8986013986013986,0.8933566433566434,0.9047430830039527,0.019461616644271863,1,0.9203463203463204,0.9245894554883318,0.9261637239165329,0.9255216693418941,0.9283039058319957,0.9249850149850151,0.0026216919866620687
0.04976177215576172,0.004980691499117446,0.0489293098449707,0.0037194159834005565,1.0,scale,rbf,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",0.8367346938775511,0.8163265306122449,0.8333333333333334,0.7708333333333334,0.8125,0.8139455782312925,0.023501715386924468,21,0.9067357512953368,0.917098445595855,0.9175257731958762,0.9123711340206185,0.9072164948453608,0.9121895197906096,0.004627757655739167,0.8,0.9333333333333333,0.8888888888888888,0.72,0.8095238095238095,0.8303492063492064,0.07424869515808515,25,0.9487179487179487,0.9294117647058824,0.9397590361445783,0.9615384615384616,0.9176470588235294,0.93941485398608,0.01516587449154524,0.8695652173913043,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.7648221343873518,0.07974008301119374,16,0.8409090909090909,0.8876404494382022,0.8764044943820225,0.8426966292134831,0.8764044943820225,0.8648110316649642,0.019237196464620437,0.8333333333333334,0.7567567567567568,0.8,0.7659574468085106,0.7906976744186046,0.789349042263441,0.027052923623125315,21,0.891566265060241,0.9080459770114943,0.9069767441860465,0.8982035928143712,0.896551724137931,0.9002688606420168,0.0063134276825590925,0.9214046822742474,0.877104377104377,0.8863636363636364,0.9055944055944055,0.8513986013986015,0.8883731405470534,0.02402413120400855,21,0.9656926406926407,0.9634831460674157,0.9654360620652754,0.9628678437667201,0.9683253076511504,0.9651610000486406,0.0019206719244198596
0.04594292640686035,0.00405315267770524,0.04530067443847656,0.00044847439468318807,1.0,scale,linear,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'linear'}",0.8367346938775511,0.7959183673469388,0.8333333333333334,0.8125,0.8541666666666666,0.826530612244898,0.020239167067027046,7,0.8808290155440415,0.8808290155440415,0.8608247422680413,0.865979381443299,0.845360824742268,0.8667645959083382,0.013338932809876983,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.782608695652174,0.8260869565217391,0.8376121463077985,0.035177466706830786,13,0.922077922077922,0.8837209302325582,0.8875,0.8987341772151899,0.8314606741573034,0.8846987407365947,0.02979023858526879,0.782608695652174,0.6818181818181818,0.7272727272727273,0.8181818181818182,0.8636363636363636,0.774703557312253,0.06440383690434913,10,0.8068181818181818,0.8539325842696629,0.797752808988764,0.797752808988764,0.8314606741573034,0.8175434116445353,0.021982850324632534,0.8181818181818182,0.75,0.8,0.8,0.8444444444444444,0.8025252525252524,0.030899846772404982,3,0.8606060606060606,0.8685714285714285,0.8402366863905325,0.8452380952380952,0.8314606741573034,0.8492225889926841,0.013535651249138813,0.9163879598662207,0.9090909090909091,0.9003496503496503,0.8898601398601398,0.8741258741258741,0.8979629066585588,0.014851737400320288,7,0.9296536796536797,0.9297752808988763,0.9295880149812733,0.9329052969502408,0.9324772605671482,0.9308799066102436,0.0014863754697393243
