Model,Tuning_Status,Train Accuracy,CV Accuracy Mean,Train-CV Accuracy Gap,Train F1,CV F1,Train-CV F1 Gap,Potential_High_Variance
SVM,Tuned,0.8729501629186476,0.8511054421768707,0.021844720741776902,0.8550674521879962,0.8270478059951744,0.028019646192821823,False
Logistic Regression - Baseline,Baseline,0.868821109983441,0.8471088435374149,0.021712266446026085,0.8525623400924122,0.8245007436109558,0.02806159648145634,False
Random Forest,Tuned,1.0,0.8263605442176871,0.17363945578231288,1.0,0.8035134069672791,0.19648659303272087,True
Decision Tree,Tuned,0.8574435126328721,0.797704081632653,0.059739431000219057,0.8406541750159349,0.775223898468283,0.06543027654765188,False
