mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.6537867069244385,0.035247369525735185,0.18798470497131348,0.023482322360268315,,sqrt,1,2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8571428571428571,0.7959183673469388,0.8333333333333334,0.8333333333333334,0.7708333333333334,0.8181122448979592,0.030707052733897906,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8076923076923077,0.875,0.85,0.7916666666666666,0.7619047619047619,0.8172527472527472,0.04053782620904721,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9130434782608695,0.6363636363636364,0.7727272727272727,0.8636363636363636,0.7272727272727273,0.7826086956521738,0.09810814927920464,45,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,0.7368421052631579,0.8095238095238095,0.8260869565217391,0.7441860465116279,0.7947563549926383,0.04691092916930539,37,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9464882943143812,0.8585858585858586,0.8968531468531469,0.9055944055944056,0.8784965034965035,0.8972036417688593,0.029464537807694004,144,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,4.965068306494546e-17
0.767123794555664,0.20309111032634955,0.16806502342224122,0.012280152389779293,,sqrt,1,2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.8571428571428571,0.7959183673469388,0.7916666666666666,0.8333333333333334,0.7916666666666666,0.8139455782312925,0.026681716910791246,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7727272727272727,0.8128787878787879,0.025757575757575788,84,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8695652173913043,0.6818181818181818,0.6818181818181818,0.8636363636363636,0.7727272727272727,0.773913043478261,0.08266068678052056,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.851063829787234,0.75,0.75,0.8260869565217391,0.7727272727272727,0.7899756118072492,0.04130230955480449,90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9464882943143812,0.8535353535353535,0.881118881118881,0.9117132867132867,0.8706293706293706,0.8926970372622547,0.03289313047144679,205,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,4.965068306494546e-17
0.9589223861694336,0.027860313391266763,0.2083813190460205,0.007934296363677193,,sqrt,1,2,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}",0.8571428571428571,0.7959183673469388,0.8125,0.8125,0.7916666666666666,0.8139455782312925,0.023201355697383113,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8076923076923077,0.8333333333333334,0.8095238095238095,0.76,0.7727272727272727,0.7966553446553446,0.0266415229017035,199,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9130434782608695,0.6818181818181818,0.7727272727272727,0.8636363636363636,0.7727272727272727,0.8007905138339921,0.080349033159226,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,0.75,0.7906976744186046,0.8085106382978723,0.7727272727272727,0.7958156885173213,0.03627817439695842,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9498327759197325,0.8493265993265994,0.8846153846153846,0.9047202797202798,0.8793706293706294,0.893573133790525,0.0332539152853765,194,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,7.021666937153402e-17
0.3363361358642578,0.020758896145694664,0.12166118621826172,0.011886865181615807,,sqrt,1,5,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8367346938775511,0.7959183673469388,0.8333333333333334,0.8125,0.7916666666666666,0.8140306122448979,0.01853975520396145,44,0.9792746113989638,0.9844559585492227,0.9845360824742269,0.9845360824742269,0.9690721649484536,0.9803749799690188,0.006004138117479645,0.7777777777777778,0.8333333333333334,0.85,0.76,0.7727272727272727,0.7987676767676767,0.03589191224148661,183,0.9883720930232558,0.9886363636363636,1.0,1.0,0.9770114942528736,0.9908039901824987,0.008602079582665215,0.9130434782608695,0.6818181818181818,0.7727272727272727,0.8636363636363636,0.7727272727272727,0.8007905138339921,0.080349033159226,1,0.9659090909090909,0.9775280898876404,0.9662921348314607,0.9662921348314607,0.9550561797752809,0.9662155260469868,0.007107893501821111,0.84,0.75,0.8095238095238095,0.8085106382978723,0.7727272727272727,0.7961523441097909,0.031409913357818335,28,0.9770114942528736,0.9830508474576272,0.9828571428571429,0.9828571428571429,0.9659090909090909,0.9783371436667755,0.006622592098356988,0.9414715719063546,0.8720538720538721,0.8933566433566433,0.8968531468531469,0.8881118881118881,0.8983694244563811,0.023164401727784827,92,0.9991341991341991,0.9984874675885912,0.9995719636169074,0.9994649545211343,0.9978598180845372,0.998903680589074,0.0006446164164673326
0.6294102191925048,0.01020221634853768,0.17212252616882323,0.009140562651939903,,sqrt,1,5,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.8571428571428571,0.7755102040816326,0.7916666666666666,0.8125,0.7708333333333334,0.801530612244898,0.0313997810382174,182,0.9844559585492227,0.9896373056994818,0.9896907216494846,0.979381443298969,0.9845360824742269,0.985540302334277,0.003850382335686867,0.8076923076923077,0.8235294117647058,0.8333333333333334,0.76,0.7619047619047619,0.7972919629390217,0.030784722732719396,196,0.9885057471264368,0.9887640449438202,0.9887640449438202,1.0,0.9886363636363636,0.9909340401300881,0.004533989650652073,0.9130434782608695,0.6363636363636364,0.6818181818181818,0.8636363636363636,0.7272727272727273,0.7644268774703556,0.10633366106070968,169,0.9772727272727273,0.9887640449438202,0.9887640449438202,0.9550561797752809,0.9775280898876404,0.9774770173646576,0.012308795913484195,0.8571428571428571,0.717948717948718,0.75,0.8085106382978723,0.7441860465116279,0.775557651980215,0.05039485190641195,200,0.9828571428571429,0.9887640449438202,0.9887640449438202,0.9770114942528736,0.9830508474576272,0.9840895148910567,0.0043908634560907095,0.9448160535117057,0.8653198653198654,0.8776223776223777,0.8986013986013986,0.8811188811188811,0.8934957152348458,0.027780829763042827,196,0.9994588744588744,0.9992437337942955,0.9996789727126806,0.9990369181380417,0.9992509363295881,0.999333887086696,0.00021813066412839166
1.3641141414642335,0.2291570163649861,0.3069242000579834,0.08832634343544359,,sqrt,1,5,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 300}",0.8571428571428571,0.8163265306122449,0.7916666666666666,0.8125,0.7916666666666666,0.8138605442176872,0.023943379807863985,60,0.9844559585492227,0.9896373056994818,0.9845360824742269,0.979381443298969,0.9845360824742269,0.9845093744992255,0.0032433204184815928,0.8076923076923077,0.8823529411764706,0.8333333333333334,0.76,0.8,0.8166757164404223,0.04040270296688728,53,0.9885057471264368,0.9887640449438202,0.9886363636363636,0.9885057471264368,0.9886363636363636,0.9886096532938842,9.680562961720175e-05,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8636363636363636,0.7272727272727273,0.7735177865612648,0.09648317688278028,83,0.9772727272727273,0.9887640449438202,0.9775280898876404,0.9662921348314607,0.9775280898876404,0.9774770173646579,0.007106976010949504,0.8571428571428571,0.7692307692307693,0.75,0.8085106382978723,0.7619047619047619,0.7893578053152521,0.03916490335953572,92,0.9828571428571429,0.9887640449438202,0.9830508474576272,0.9772727272727273,0.9830508474576272,0.9829991219977889,0.003634596050282923,0.9531772575250836,0.867003367003367,0.881118881118881,0.9055944055944055,0.8881118881118881,0.899001159870725,0.029801782924537366,69,0.9993506493506493,0.9992437337942955,0.9993579454253612,0.9990369181380416,0.9991439272338148,0.9992266347884324,0.00012308323853418005
0.338334846496582,0.012624589827039635,0.11645326614379883,0.0026781613330247676,,sqrt,1,10,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.8571428571428571,0.8163265306122449,0.75,0.7916666666666666,0.8125,0.8055272108843538,0.034942254844029165,147,0.927461139896373,0.9430051813471503,0.9432989690721649,0.9278350515463918,0.9381443298969072,0.9359489343517975,0.007021554565007843,0.8076923076923077,0.8823529411764706,0.75,0.75,0.782608695652174,0.7945307889041905,0.04897769826138105,208,0.9625,0.9534883720930233,0.9642857142857143,0.9629629629629629,0.9529411764705882,0.9592356451624576,0.004953858950123436,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8181818181818182,0.8181818181818182,0.782608695652174,0.0892878289186563,33,0.875,0.9213483146067416,0.9101123595505618,0.8764044943820225,0.9101123595505618,0.8985955056179774,0.019142387682472832,0.8571428571428571,0.7692307692307693,0.7142857142857143,0.782608695652174,0.8,0.7846536072623029,0.04622529410768493,134,0.9166666666666666,0.9371428571428572,0.9364161849710982,0.9176470588235294,0.9310344827586207,0.9277814500725544,0.00893332084847258,0.9414715719063544,0.8636363636363635,0.8723776223776224,0.8916083916083917,0.8793706293706294,0.8896929157798723,0.027459101113627007,214,0.9852813852813853,0.990600691443388,0.9858747993579455,0.9843766720171214,0.9836276083467095,0.9859522312893099,0.002447466883119709
0.6603274345397949,0.018734386611646645,0.16552386283874512,0.01030683751583845,,sqrt,1,10,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.8571428571428571,0.8163265306122449,0.7708333333333334,0.8125,0.7916666666666666,0.8096938775510205,0.02876940841692629,105,0.9378238341968912,0.9326424870466321,0.9432989690721649,0.9226804123711341,0.9484536082474226,0.936979862186849,0.008894687598599876,0.8076923076923077,0.8823529411764706,0.7894736842105263,0.76,0.7727272727272727,0.8024492411613154,0.0430483207191854,163,0.9523809523809523,0.9523809523809523,0.9642857142857143,0.9512195121951219,0.9759036144578314,0.9592341491401145,0.009607875950473401,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8636363636363636,0.7727272727272727,0.7826086956521738,0.09380171999488587,45,0.9090909090909091,0.898876404494382,0.9101123595505618,0.8764044943820225,0.9101123595505618,0.9009193054136875,0.01296880101990101,0.8571428571428571,0.7692307692307693,0.7317073170731707,0.8085106382978723,0.7727272727272727,0.7878637708943884,0.042321943619200414,104,0.9302325581395349,0.9248554913294798,0.9364161849710982,0.9122807017543859,0.9418604651162791,0.9291290802621555,0.010183704036109152,0.9498327759197325,0.867003367003367,0.8653846153846154,0.9003496503496503,0.8846153846153847,0.8934371586545501,0.030957268646712274,198,0.9864718614718615,0.9894122731201382,0.9865168539325841,0.984697699304441,0.9854467629748529,0.9865090901607754,0.001602472678789114
0.937884521484375,0.023696726228641645,0.21103239059448242,0.009092209423104307,,sqrt,1,10,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.8571428571428571,0.8163265306122449,0.7916666666666666,0.7916666666666666,0.7708333333333334,0.8055272108843538,0.02955907561753001,147,0.9481865284974094,0.9326424870466321,0.9381443298969072,0.9278350515463918,0.9381443298969072,0.9369905453768496,0.006793248913382066,0.8076923076923077,0.8823529411764706,0.8333333333333334,0.7307692307692307,0.7619047619047619,0.8032105149752209,0.053188155017721374,154,0.9642857142857143,0.9523809523809523,0.963855421686747,0.9629629629629629,0.9529411764705882,0.9592852455573929,0.0054283198047990104,0.9130434782608695,0.6818181818181818,0.6818181818181818,0.8636363636363636,0.7272727272727273,0.7735177865612648,0.09648317688278028,83,0.9204545454545454,0.898876404494382,0.898876404494382,0.8764044943820225,0.9101123595505618,0.9009448416751787,0.014665997651470067,0.8571428571428571,0.7692307692307693,0.75,0.7916666666666666,0.7441860465116279,0.7824452679103842,0.0408799472586128,161,0.9418604651162791,0.9248554913294798,0.9302325581395349,0.9176470588235294,0.9310344827586207,0.9291260112334887,0.007962872772951763,0.9498327759197325,0.8686868686868687,0.8706293706293706,0.9003496503496504,0.8863636363636364,0.8951724603898518,0.02965130214098176,172,0.987012987012987,0.9898444252376837,0.9860888175494917,0.9860888175494916,0.9846976993044408,0.986746549330819,0.001716440083180156
0.43860569000244143,0.10474753425808779,0.17299585342407225,0.06415117853480648,,sqrt,2,2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.8367346938775511,0.8163265306122449,0.75,0.8125,0.8333333333333334,0.8097789115646258,0.03132161838180526,103,0.9585492227979274,0.9792746113989638,0.9690721649484536,0.9587628865979382,0.9587628865979382,0.9648843544682443,0.00824252245620117,0.7777777777777778,0.8421052631578947,0.75,0.76,0.8181818181818182,0.7896129718234981,0.03509360935209962,215,0.9761904761904762,0.9775280898876404,0.9882352941176471,0.9879518072289156,0.9655172413793104,0.9790845817607978,0.008452626374929186,0.9130434782608695,0.7272727272727273,0.6818181818181818,0.8636363636363636,0.8181818181818182,0.800790513833992,0.0853370576632106,6,0.9318181818181818,0.9775280898876404,0.9438202247191011,0.9213483146067416,0.9438202247191011,0.9436670071501532,0.018895177024821578,0.84,0.7804878048780488,0.7142857142857143,0.8085106382978723,0.8181818181818182,0.7922931951286908,0.04343662004345877,62,0.9534883720930233,0.9775280898876404,0.9655172413793104,0.9534883720930233,0.9545454545454546,0.9609135059996904,0.009466320125613359,0.9548494983277591,0.8821548821548821,0.8723776223776224,0.8951048951048951,0.9003496503496503,0.9009673096629618,0.028668161122077623,24,0.9955627705627706,0.9987035436473639,0.9981808453718566,0.9966827180310327,0.9956126270733012,0.9969485009372651,0.0012941635077688776
